"","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"Madagascar","5.77","5.33","5.44","6.35","6.20","5.71","5.74","6.50","7.03","6.41","6.54","7.80","7.52","7.94","6.44","5.31","5.37","4.46","6.21","5.76","5.19","4.94"
"Malawi","6.57","6.72","5.10","4.74","4.82","4.26","3.87","2.92","2.67","3.36","3.55","3.74","4.02","3.42","2.95","1.88","1.58","1.56","1.50","1.69","1.39","1.49"
"Malaysia","156.24","142.11","154.15","152.54","133.22","127.13","124.96","137.35","128.68","122.83","116.73","97.24","78.82","93.38","80.70","69.41","61.49","55.39","48.94","42.06","40.99","45.57"
"Maldives","148.84","139.59","148.70","159.20","192.01","188.11","160.13","197.41","216.52","207.91","232.97","243.51","232.73","256.03","225.40","201.30","186.18","180.80","129.11","129.14","131.80","138.26"
"Mali","13.68","12.91","10.00","10.41","10.96","10.12","10.16","12.31","10.76","12.65","16.26","18.12","22.00","21.56","18.67","15.69","14.04","12.41","11.81","10.09","9.17","9.91"
"Malta","0.00","950.50","1004.69","944.33","898.83","815.59","834.49","895.57","641.04","609.28","650.00","572.56","544.47","577.74","496.05","436.77","398.16","344.79","309.73","238.69","203.51","170.66"
"Marshall Islands","8.32","8.19","8.68","8.04","7.72","6.94","6.59","6.56","6.67","6.25","5.98","5.61","5.50","5.82","5.60","5.21","5.25","4.92","4.65","4.63","4.26","4.08"
"Mauritania","29.55","27.51","27.23","27.17","26.27","26.27","27.41","28.27","27.79","27.17","27.72","27.18","27.70","29.57","25.89","23.43","22.27","21.60","19.62","17.64","17.42","17.36"
"Mauritius","242.36","239.42","306.40","309.08","286.01","259.83","255.50","273.18","234.05","199.86","204.74","186.77","175.97","193.33","127.82","107.46","95.21","80.18","71.45","59.41","51.01","51.02"
"Mexico","252.63","208.74","233.70","224.51","215.16","203.91","229.09","251.41","251.72","238.90","232.48","234.63","235.26","280.26","294.24","277.46","265.13","240.58","230.47","210.93","196.07","168.06"
"Micronesia (Federated States of)","10.43","10.61","11.00","10.18","10.13","9.50","9.45","9.01","9.63","10.70","11.42","11.70","12.22","11.89","11.59","12.39","12.80","11.27","10.27","9.23","8.75","7.81"
